[2023-07-25 20:22:57,086] [INFO] Set up nlp object from config
[2023-07-25 20:22:57,099] [INFO] Pipeline: ['tok2vec', 'ner']
[2023-07-25 20:22:57,102] [INFO] Created vocabulary
[2023-07-25 20:22:58,592] [INFO] Added vectors: de_core_news_lg
[2023-07-25 20:22:58,593] [INFO] Finished initializing nlp object
[2023-07-25 20:23:02,404] [INFO] Initialized pipeline components: ['tok2vec', 'ner']
[38;5;4mℹ Saving to output directory: /veld/output/1/m1[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
237   37600       7673.25    250.08   73.35   75.43   71.38    0.73
239   37800       4196.05    194.07   75.47   75.22   75.72    0.75
240   38000       8367.82    179.94   75.18   75.46   74.91    0.75
241   38200       6145.20    204.11   74.84   74.49   75.20    0.75
243   38400       6136.68    216.23   75.10   74.85   75.35    0.75
244   38600       4079.75    195.65   74.37   76.12   72.70    0.74
245   38800       3759.93    213.52   75.16   77.05   73.36    0.75
246   39000       4156.37    204.38   74.86   73.12   76.67    0.75
248   39200       6045.33    232.65   74.94   75.50   74.39    0.75
249   39400       5210.04    190.58   74.49   74.00   74.98    0.74
250   39600       5416.71    246.93   75.11   73.47   76.82    0.75
252   39800       4717.42    197.17   75.32   75.97   74.69    0.75
253   40000       2602.63    177.79   74.95   75.15   74.76    0.75
254   40200       3791.20    181.22   76.03   75.97   76.09    0.76
256   40400       3859.69    170.28   74.92   76.38   73.51    0.75
257   40600       4137.43    200.40   74.65   75.99   73.36    0.75
258   40800       6031.77    222.05   74.52   74.06   74.98    0.75
260   41000       8063.65    174.73   74.42   73.93   74.91    0.74
261   41200       6267.65    222.58   74.95   73.98   75.94    0.75
262   41400       4922.77    187.45   74.87   74.54   75.20    0.75
264   41600      10039.85    187.16   74.11   74.94   73.29    0.74
265   41800       5562.79    238.95   75.30   75.69   74.91    0.75
266   42000       6265.01    174.26   75.12   76.17   74.10    0.75
268   42200      11643.37    213.66   74.90   74.38   75.42    0.75
269   42400       9497.05    209.16   74.76   74.54   74.98    0.75
270   42600      19672.44    251.19   74.97   75.11   74.83    0.75
271   42800       5672.89    178.22   74.44   76.43   72.55    0.74
273   43000       3574.35    158.52   74.02   74.77   73.29    0.74
274   43200       9031.11    188.80   75.69   75.09   76.31    0.76
275   43400      14436.49    231.08   75.07   73.95   76.23    0.75
277   43600       5804.67    232.18   74.77   76.32   73.29    0.75
278   43800       7834.44    175.65   75.22   73.47   77.04    0.75
